Область, Середній бал ЗНО, Середній бал ДПА, Рік
"Вінницька область",134.85,7.60,2019
"Вінницька область",136.82,6.29,2020
"Волинська область",140.12,7.84,2019
"Волинська область",140.91,7.09,2020
"Дніпропетровська область",135.30,7.52,2019
"Дніпропетровська область",137.26,6.48,2020
"Донецька область",132.07,7.36,2019
"Донецька область",134.59,6.53,2020
"Житомирська область",130.97,7.20,2019
"Житомирська область",134.26,6.37,2020
"Закарпатська область",130.17,7.02,2019
"Закарпатська область",133.65,6.11,2020
"Запорізька область",133.99,7.50,2019
"Запорізька область",133.51,6.16,2020
"Івано-Франківська область",139.31,7.71,2019
"Івано-Франківська область",139.62,6.75,2020
"Київська область",135.94,7.50,2019
"Київська область",135.87,6.37,2020
"Кіровоградська область",133.74,7.39,2019
"Кіровоградська область",138.33,6.67,2020
"Луганська область",130.22,7.06,2019
"Луганська область",134.92,6.38,2020
"Львівська область",139.72,7.95,2019
"Львівська область",141.55,6.91,2020
"Миколаївська область",132.60,7.24,2019
"Миколаївська область",134.20,6.18,2020
"м.Київ",147.47,8.85,2019
"м.Київ",149.32,7.76,2020
"Одеська область",129.04,7.07,2019
"Одеська область",131.33,6.06,2020
"Полтавська область",134.04,7.49,2019
"Полтавська область",138.43,6.73,2020
"Рівненська область",135.47,7.57,2019
"Рівненська область",140.35,6.82,2020
"Сумська область",135.59,7.53,2019
"Сумська область",139.24,6.74,2020
"Тернопільська область",135.68,7.55,2019
"Тернопільська область",137.11,6.31,2020
"Харківська область",139.69,7.91,2019
"Харківська область",139.26,6.71,2020
"Херсонська область",136.29,7.78,2019
"Херсонська область",140.65,6.98,2020
"Хмельницька область",135.40,7.62,2019
"Хмельницька область",139.13,6.73,2020
"Черкаська область",138.54,7.72,2019
"Черкаська область",137.93,6.57,2020
"Чернівецька область",132.87,7.42,2019
"Чернівецька область",138.41,6.60,2020
"Чернігівська область",136.06,7.62,2019
"Чернігівська область",139.89,6.81,2020
